EmotionType,Emotion,Character,Title,Kaomoji
positive,excited,human,Circle Hands,(((o(*ﾟ▽ﾟ*)o)))
positive,excited,human,Circle Hands,o((*^▽^*))o
positive,excited,human,Circle Hands,Ｏ(≧▽≦)Ｏ
positive,excited,human,Circle Hands,o(〃＾▽＾〃)o
positive,excited,human,Circle Hands,o(^▽^)o
positive,excited,human,Circle Hands,Ｏ(≧∇≦)Ｏ
positive,excited,human,Circle Hands,o(≧∇≦o)
positive,excited,human,Circle Hands,σ(≧ε≦ｏ)
positive,excited,human,Circle Hands,o(*^▽^*)o
positive,excited,human,Circle Hands,⌒°(❛ᴗ❛)°⌒
positive,excited,human,Circle Hands,o(^∀^*)o
positive,excited,human,Circle Hands,o(^◇^)o
positive,excited,human,Circle Hands,《《o(≧◇≦)o》》
positive,excited,human,Circle Hands,o(*≧□≦)o
positive,excited,human,Circle Hands,o(*>ω<*)o
positive,excited,human,Excited to the Right,(ﾉ･ｪ･)ﾉ
positive,excited,human,Excited to the Right,(/^▽^)/
positive,excited,human,Excited to the Right,(ﾉ´ヮ´)ﾉ*:･ﾟ✧
positive,excited,human,Excited to the Right,(ﾉ≧∀≦)ﾉ
positive,excited,human,Excited to the Right,(ﾉ^ヮ^)ﾉ*:・ﾟ✧
positive,excited,human,Excited to the Right,(/ ‘з’)/
positive,excited,human,Excited to the Right,(۶ꈨຶꎁꈨຶ )۶ʸᵉᵃʰᵎ
positive,excited,human,Excited to the Right,⁽(◍˃̵͈̑ᴗ˂̵͈̑)⁽
positive,excited,human,Excited to the Right,(╯✧∇✧)╯
positive,excited,human,Excited to the Right,Σ(ノ°▽°)ノ
positive,excited,human,Excited to the Right,( ƅ°ਉ°)ƅ
positive,excited,human,Excited to the Right,ヽ(　･∀･)ﾉ
positive,excited,human,Excited to the Right,˭̡̞(◞⁎˃ᆺ˂)◞*✰
positive,excited,human,Excited to the Right,(p^-^)p
positive,excited,human,Excited to the Right,(ﾉ^∇^)ﾉﾟ
positive,excited,human,Excited to the Right,ヽ(〃･ω･)ﾉ
positive,excited,human,Excited to the Right,(۶* ‘ꆚ’)۶”
positive,excited,human,Excited to the Right,（。＞ω＜）。
positive,excited,human,Excited to the Right,（ﾉ｡≧◇≦）ﾉ
positive,excited,human,Excited to the Right,ヾ(｡･ω･)ｼ
positive,excited,human,Excited to the Right,(ﾉ･д･)ﾉ
positive,excited,human,Excited to the Right,.+:｡(ﾉ･ω･)ﾉﾞ
positive,excited,human,Excited to the Right,Σ(*ﾉ´>ω<｡`)ﾉ
positive,excited,human,Excited to the Right,ヾ（〃＾∇＾）ﾉ♪
positive,excited,human,Excited to the Right,.ﾟ☆(ノё∀ё)ノ☆ﾟ.
positive,excited,human,Excited to the Right,⌒ﾟ(❀>◞౪◟<)ﾟ⌒
positive,excited,human,Excited to the Right,ヽ/❀o ل͜ o\ﾉ
positive,excited,human,Excited to the Right,⤴︎ ε=ε=(ง ˃̶͈̀ᗨ˂̶͈́)۶ ⤴︎
positive,excited,human,Excited to the Right,୧༼✿ ͡◕ д ◕͡ ༽୨
positive,excited,human,Excited to the Left,ヽ(;^o^ヽ)
positive,excited,human,Excited to the Left,╰(✧∇✧╰)
positive,excited,human,Excited to the Left,٩(◕ั ∀◕ั๑٩)
positive,excited,human,Excited to the Left,٩(•౪•٩)三
positive,excited,human,Excited to the Left,₍•͟ ͜ • ₎
positive,excited,human,Excited to the Left,q(^-^q)
positive,excited,human,Excited to the Left,＼（・c＿・●）ゞ
positive,excited,human,Excited to the Left,۹⌤_⌤۹
positive,excited,human,Excited to the Left,ヾ(０∀０*★)ﾟ*･.｡
positive,excited,human,Excited to the Left,ヾ│・ェ・ヾ│
positive,excited,human,Excited to the Left,╰(・∇・╰)
positive,excited,human,Excited to the Left,。（＞ω＜。）
positive,excited,human,Excited to the Left,ヾ(･ω･｡)ｼ
positive,excited,human,Excited to the Left,ヾ(･д･ヾ)
positive,excited,human,Excited to the Left,ヽ(´∀｀ヽ)
positive,excited,human,Excited to the Left,ヽ(´ω｀○)ﾉ.+ﾟ*｡:ﾟ+
positive,excited,human,Excited to the Left,ヾ(≧∇≦*)ゝ
